id	mittente	destinatario	luogo_mittente
167	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
168	Manzoni, Alessandro	Cattaneo, Gaetano	Brusuglio
169	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
170	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
171	Manzoni, Alessandro	Fauriel, Claude	Milano
172	Manzoni, Alessandro	Acerbi, Enrico	Milano
173	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
174	Manzoni, Alessandro	Fauriel, Claude	Milano
175	Manzoni, Alessandro	Stella, Antonio Fortunato; Fusi, Francesco	Milano
176	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
177	Manzoni, Alessandro	Blondel, Henri	Milano
178	Manzoni, Alessandro	Blondel, Henri	Milano
179	Manzoni, Alessandro	Maumary Zucchi, Bartolomeo	Milano
180	Manzoni, Alessandro	Del Bene, Benedetto	Milano
181	Manzoni, Alessandro	Mangili, Giuseppe	Milano
182	Manzoni, Alessandro	Accademia dei Sepolti	Milano
184	Manzoni, Alessandro	Fauriel, Claude	Milano
185	Manzoni, Alessandro	Gambarana, Giann'Arcangelo	Brusuglio
186	Manzoni, Alessandro	Pio VII, papa	Milano
187	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
188	Manzoni, Alessandro	Rossari, Luigi	Brusuglio
189	Manzoni, Alessandro	Fauriel, Claude	Brusuglio
190	Manzoni, Alessandro	Tosi, Luigi	Brusuglio
191	Manzoni, Alessandro	Azeglio, Cesare Taparelli d'	Brusuglio
192	Manzoni, Alessandro	Somis di Chiavrie, Giovanni Battista	Milano
193	Manzoni, Alessandro	Pellico, Luigi	Milano
194	Manzoni, Alessandro	Tosi, Luigi	Milano
195	Manzoni, Alessandro	Tosi, Luigi	Milano
197	Manzoni, Alessandro	Fauriel, Claude	Milano
198	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
199	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
200	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
201	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
202	Manzoni, Alessandro	Zajotti, Paride	Brusuglio
203	Manzoni, Alessandro	Tosi, Luigi	Brusuglio
204	Manzoni, Alessandro	Saluzzo Roero, Diodata	Brusuglio
205	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
206	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
207	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
208	Manzoni, Alessandro	Gambarana, Giann'Arcangelo	Brusuglio
209	Manzoni, Alessandro	Cattaneo, Gaetano	Brusuglio
210	Manzoni, Alessandro	Ferrario, Vincenzo	Brusuglio
211	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
212	Manzoni, Alessandro	Rossari, Luigi	Brusuglio
213	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
214	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
215	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
216	Manzoni, Alessandro	Blondel, Henri	Milano
217	Manzoni, Alessandro	Tosi, Luigi	Milano
218	Manzoni, Alessandro	Degola, Eustachio	Milano
219	Manzoni, Alessandro	Parma, Michele	Brusuglio
220	Manzoni, Alessandro	Rossari, Luigi	Brusuglio
221	Manzoni, Alessandro	Blondel, Henri	Brusuglio
222	Manzoni, Alessandro	Tommaseo, Niccolò	Brusuglio
223	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
224	Manzoni, Alessandro	Tommaseo, Niccolò	Brusuglio
225	Manzoni, Alessandro	Tosi, Luigi	Milano
226	Manzoni, Alessandro	Tommaseo, Niccolò	Milano
229	Manzoni, Alessandro	Tommaseo, Niccolò	Milano
230	Manzoni, Alessandro	Tommaseo, Niccolò	Milano
231	Manzoni, Alessandro	Fauriel, Claude	Milano
232	Manzoni, Alessandro	Fauriel, Claude	Milano
233	Manzoni, Alessandro	Torri, Alessandro	Milano
234	Manzoni, Alessandro	Marchisio, Stanislao	Milano
235	Manzoni, Alessandro	Gambarana, Giann'Arcangelo	Milano
236	Manzoni, Alessandro	Tosi, Luigi	Milano
237	Manzoni, Alessandro	Visconti, Giuseppe	Milano
238	Manzoni, Alessandro	Frescobaldi, Lamberto	Milano
239	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
240	Manzoni, Alessandro	Tommaseo, Niccolò	Brusuglio
241	Manzoni, Alessandro	Rosmini, Antonio	Brusuglio
242	Manzoni, Alessandro	Rosmini, Antonio	Milano
243	Manzoni, Alessandro	Fauriel, Claude	Brusuglio
244	Manzoni, Alessandro	Rossari, Luigi	Brusuglio
245	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
246	Manzoni, Alessandro	Rossari, Luigi	Brusuglio
247	Manzoni, Alessandro	Torri, Alessandro	Milano
248	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
249	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
250	Manzoni, Alessandro	Fauriel, Claude	Milano
251	Manzoni, Alessandro	Monti, Vincenzo	Milano
252	Manzoni, Alessandro	Tommaseo, Niccolò	Milano
253	Manzoni, Alessandro	Viviani, Quirico	Milano
254	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
255	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
256	Manzoni, Alessandro	Fauriel, Claude	Milano
257	Manzoni, Alessandro	Monti, Vincenzo	Milano
258	Manzoni, Alessandro	De Filippi, Giuseppe	Milano
259	Manzoni, Alessandro	Fusi, Francesco	Milano
260	Manzoni, Alessandro	Frescobaldi, Lamberto	Milano
261	Manzoni, Alessandro	Grossi, Tommaso	Genova
262	Manzoni, Alessandro	Rossari, Luigi	Genova
263	Manzoni, Alessandro	Grossi, Tommaso	Livorno
264	Manzoni, Alessandro	Padelletti, Pier Francesco	Firenze
265	Manzoni, Alessandro	Grossi, Tommaso	Firenze
266	Manzoni, Alessandro	Cattaneo, Gaetano	Firenze
267	Manzoni, Alessandro	Cioni, Gaetano	Milano
268	Manzoni, Alessandro	Monti, Vincenzo	Milano
269	Manzoni, Alessandro	Cioni, Gaetano	Milano
270	Manzoni, Alessandro	Borghi, Giuseppe	Milano
271	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
272	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
273	Manzoni, Alessandro	Cesari, Antonio	Milano
274	Manzoni, Alessandro	Guicciardi, Luigi	Milano
275	Manzoni, Alessandro	Lamartine, Alphonse Marie Louis de	Milano
276	Manzoni, Alessandro	Cesari, Antonio	
277	Manzoni, Alessandro	Zajotti, Paride	Milano
278	Manzoni, Alessandro	Zuccagni Orlandini, Attilio	Milano
279	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
280	Manzoni, Alessandro	Zannoni, Giovanni Battista	Milano
281	Manzoni, Alessandro	Manera, Francesco	Milano
282	Manzoni, Alessandro	Swan, Charles	Milano
283	Manzoni, Alessandro	Rossetti, Cesare	Milano
284	Manzoni, Alessandro	Cesari, Antonio	Milano
285	Manzoni, Alessandro	Bottelli, Giuseppe	Milano
286	Manzoni, Alessandro	Fauriel, Claude	Milano
287	Manzoni, Alessandro	Gera, Francesco Agostino	Milano
288	Manzoni, Alessandro	Della Nave, Antonio	Milano
289	Manzoni, Alessandro	Valdrighi, Mario	Milano
290	Manzoni, Alessandro	Fabris, Antonio	Milano
291	Manzoni, Alessandro	Gambarana, Giann'Arcangelo	Brusuglio
292	Manzoni, Alessandro	Cantù, Cesare	Brusuglio
293	Manzoni, Alessandro	Borghi, Giuseppe	Brusuglio
294	Manzoni, Alessandro	Soletti, Pietro	Brusuglio
295	Manzoni, Alessandro	Scolari, Filippo	Brusuglio
296	Manzoni, Alessandro	Cousin, Victor	Brusuglio
297	Manzoni, Alessandro	Pistolesi, Francesco	Brusuglio
298	Manzoni, Alessandro	Cicognara, Leopoldo	Brusuglio
299	Manzoni, Alessandro	Cesari, Antonio	Brusuglio
300	Manzoni, Alessandro	Tommaseo, Niccolò	Brusuglio
301	Manzoni, Alessandro	Saussure Necker, Albertine de	Milano
302	Manzoni, Alessandro	Leopoldo II	Milano
303	Manzoni, Alessandro	Borromeo, Vitaliano	Milano
304	Manzoni, Alessandro	Cioni, Gaetano	Milano
305	Manzoni, Alessandro	Gosselin, Pierre Joseph	Milano
306	Manzoni, Alessandro	Cousin, Victor	Milano
307	Manzoni, Alessandro	Cassi, Francesco	Milano
308	Manzoni, Alessandro	Guicciardini, Francesco	Milano
309	Manzoni, Alessandro	Borghi, Giuseppe	Milano
310	Manzoni, Alessandro	Borghi, Giuseppe	Milano
311	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
312	Manzoni, Alessandro	Somis di Chiavrie, Giovanni Battista	Milano
313	Manzoni, Alessandro	Chiari, Ferdinando	Milano
314	Manzoni, Alessandro	Pock, Giovanni	Milano
315	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
316	Manzoni, Alessandro	Saluzzo Roero, Diodata	Brusuglio
317	Manzoni, Alessandro	Mami, Francesco	Brusuglio
318	Manzoni, Alessandro	Non identificato	Brusuglio
319	Manzoni, Alessandro	Cornienti, Giuseppe	Brusuglio
320	Manzoni, Alessandro	Mazzoleni, Carlo	Brusuglio
321	Manzoni, Alessandro	Pictet de Rochemont, Charles-René	Brusuglio
322	Manzoni, Alessandro	Saluzzo Roero, Diodata	Brusuglio
323	Manzoni, Alessandro	Chenevière, Jean Jacques Caton	Brusuglio
324	Manzoni, Alessandro	Giuccioli Valentini, Biagio	Brusuglio
325	Manzoni, Alessandro	Bottelli, Giuseppe	Brusuglio
326	Manzoni, Alessandro	Saluzzo Roero, Diodata	Copreno
327	Manzoni, Alessandro	Manzoni, Pietro Luigi	Copreno
328	Manzoni, Alessandro	Saluzzo Roero, Diodata	Copreno
329	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
330	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
331	Manzoni, Alessandro	Borghi, Giuseppe	Milano
332	Manzoni, Alessandro	Zannoni, Giovanni Battista	Milano
333	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
334	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
335	Manzoni, Alessandro	Gazzera, Costanzo	Milano
336	Manzoni, Alessandro	Cousin, Victor	Milano
337	Manzoni, Alessandro	Tommaseo, Niccolò	Milano
338	Manzoni, Alessandro	Tosi, Luigi	Milano
339	Manzoni, Alessandro	Fratti, Luigi	Milano
340	Manzoni, Alessandro	Tosi, Luigi	Milano
341	Manzoni, Alessandro	Manio, Paolo	Milano
342	Manzoni, Alessandro	Malingri di Bagnolo, Coriolano	Milano
344	Manzoni, Alessandro	Muzzi, Luigi	Milano
345	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
346	Manzoni, Alessandro	Sclopis, Federigo	Milano
347	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
348	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
349	Manzoni, Alessandro	Rosmini, Antonio	Milano
350	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
351	Manzoni, Alessandro	Cousin, Victor	Milano
352	Manzoni, Alessandro	Fauriel, Claude	Milano
353	Manzoni, Alessandro	Dandolo, Tullio	Milano
354	Manzoni, Alessandro	Non identificato	Brusuglio
355	Manzoni, Alessandro	Quetelet, Lambert Adolphe Jacques	Brusuglio
356	Manzoni, Alessandro	Visconti d'Aragona, Alessandro	Brusuglio
357	Manzoni, Alessandro	Reidhaar, Silvain	Brusuglio
358	Manzoni, Alessandro	Tosi, Luigi	Milano
359	Manzoni, Alessandro	Grossi, Tommaso	Milano
360	Manzoni, Alessandro	Bianchetti, Giuseppe	Milano
361	Manzoni, Alessandro	Rossari, Luigi	Milano
362	Manzoni, Alessandro	Tommaseo, Niccolò	
363	Manzoni, Alessandro	Saluzzo Roero, Diodata	Milano
364	Manzoni, Alessandro	Azeglio, Massimo Taparelli d'	Milano
365	Manzoni, Alessandro	Azeglio, Massimo Taparelli d'	Milano
366	Manzoni, Alessandro	Azeglio, Massimo Taparelli d'	Milano
367	Manzoni, Alessandro	Azeglio, Massimo Taparelli d'	Milano
368	Manzoni, Alessandro	Azeglio, Massimo Taparelli d'	Milano
369	Manzoni, Alessandro	Azeglio, Roberto Taparelli d'	Milano
370	Manzoni, Alessandro	Teotochi Albrizzi, Isabella	Milano
371	Manzoni, Alessandro	Tasca, Ottavio	Gessate
372	Manzoni, Alessandro	Rosmini, Antonio	Brusuglio
373	Manzoni, Alessandro	Rosmini, Antonio	Brusuglio
374	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
375	Manzoni, Alessandro	Salvadori, Francesco de	Milano
376	Manzoni, Alessandro	Faieti, Luigi	Milano
377	Manzoni, Alessandro	Barbieri, Giuseppe	Milano
378	Manzoni, Alessandro	Zaccarelli, Giovanni Luigi	Milano
379	Manzoni, Alessandro	Ferrara, Antonio	Milano
380	Manzoni, Alessandro	Bonelli, Luigi	Milano
381	Manzoni, Alessandro	Ferrara, Antonio	Milano
382	Manzoni, Alessandro	Vieusseux, Giovan Pietro	Milano
383	Manzoni, Alessandro	Maistre, Xavier de	Milano
385	Manzoni, Alessandro	Montgrand, Jean-Baptiste-Jacques-Guy-Therese, marquis de	Milano
386	Manzoni, Alessandro	Wessenberg, Johann Philipp von	Milano
387	Manzoni, Alessandro	Cazalès, Edmond de	Milano
388	Manzoni, Alessandro	Gambarana, Angelina	Milano
389	Manzoni, Alessandro	Cantù, Cesare	Milano
390	Manzoni, Alessandro	Ratti, Giulio	Milano
391	Manzoni, Alessandro	Ratti, Giulio	Milano
392	Manzoni, Alessandro	Coen, Marco	Milano
393	Manzoni, Alessandro	Tosi, Luigi	Milano
394	Manzoni, Alessandro	Beccaria, Giulio	
395	Manzoni, Alessandro	Coen, Marco	Milano
396	Manzoni, Alessandro	Montgrand, Jean-Baptiste-Jacques-Guy-Therese, marquis de	Milano
397	Manzoni, Alessandro	Montgrand, Jean-Baptiste-Jacques-Guy-Therese, marquis de	Milano
398	Manzoni, Alessandro	Fontana, Cristoforo Giuseppe	Genova
399	Manzoni, Alessandro	Giordani, Pietro	Genova
400	Manzoni, Alessandro	Mohnike, Gottlieb Christian Friedrich	Milano
401	Manzoni, Alessandro	Provana del Sabbione, Luigi	Azeglio
402	Manzoni, Alessandro	Vieusseux, Giovan Pietro	Brusuglio
403	Manzoni, Alessandro	Azeglio, Massimo Taparelli d'	Brusuglio
404	Manzoni, Alessandro	Vieusseux, Giovan Pietro	Brusuglio
405	Manzoni, Alessandro	Müller, Friedrich von	Milano
406	Manzoni, Alessandro	Montgrand, Jean-Baptiste-Jacques-Guy-Therese, marquis de	Milano
